ID,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser,x,y
Q110,11,2,0,0,2,0,8,1,5,9,0,0,0,Sonstige,-2.203593455,-1.457397848
Q12,0,0,0,5,0,1,4,3,4,0,1,0,0,"Fontane, Theodor",0.1792436961,0.7793122301
Q13,0,0,0,13,0,29,7,2,2,0,0,0,0,"Fontane, Theodor",-1.364307626,0.01093052114
Q14,0,0,0,11,6,1,6,2,2,0,1,0,0,"Fontane, Theodor",-3.028285165,3.405189099
Q15,0,0,0,16,0,2,7,2,3,0,0,0,0,"Fontane, Theodor",-1.104103323,0.1193176327
Q16,0,0,0,1,0,1,7,2,9,0,1,0,0,"Fontane, Theodor",-1.305881443,-0.279970207
Q17,0,0,0,4,0,1,7,10,0,0,0,0,0,"Fontane, Theodor",1.05708073,5.246220197
"Q18,1-3",34,1,0,157,0,6,5,3,5,10,0,0,0,"Alexis, Willibald",3.295047373,-2.49234514
"Q18,4-8",118,5,0,77,0,0,5,3,22,41,11,0,0,"Alexis, Willibald",3.564079109,-10.48094117
Q19,4,0,0,25,0,0,4,2,0,6,2,0,0,"Alexis, Willibald",0.7093915329,-0.3705329088
Q2,8,0,0,7,3,3,5,2,3,0,5,7,0,"Fontane, Theodor",-10.33232243,1.379391461
Q20,64,13,0,10,0,1,5,4,7,11,0,0,0,"Alexis, Willibald",0.7585968364,-6.835327006
Q21,21,1,0,2,0,0,4,4,5,15,3,0,0,"Alexis, Willibald",1.492997199,-2.22247739
